OBJECTID,GISOBJID,OBJ_CODE,DESCRIPTION,PARKING_TYPE,OPERATOR,NUM_SPACES,HOURLY_RT,DAILY_RT,FLAT_RT,CONT_RT,ELYBRDRT,TRRESVD,TRANDOM,NTRESVD,NTRADOM,CreationDate,Creator,EditDate,Editor,hyperlink,attachment,EV,GlobalID,Address,StreetView
25,,PKGL-203,Garcia Bend Lot,SL,,,,,,,,,,,,2015/12/17 23:20:35.329+00,jorgeacevedo,2015/12/17 23:44:55.310+00,,garciaBend,"https://www.google.com/maps/@38.4807516,-121.5411308,3a,75y,229.65h,83.47t/data=!3m6!1e1!3m4!1sOgAFtvnWvkLVrIWGKAOrRg!2e0!7i13312!8i6656",,729706af-d606-4fa4-870f-51cac2cae787,7654 Pocket Road,"https://www.google.com/maps/@38.4807516,-121.5411308,3a,75y,229.65h,83.47t/data=!3m6!1e1!3m4!1sOgAFtvnWvkLVrIWGKAOrRg!2e0!7i13312!8i6656"
27,100080391,PKGL-204,Miller Park Recreational Facility,SL,City of Sacramento,,3,6,6,,,,,,,2015/12/17 23:20:35.329+00,jorgeacevedo,2015/12/17 23:32:19.103+00,,millerpark,"https://www.google.com/maps/@38.5647793,-121.5162353,3a,75y,328.73h,83.42t/data=!3m6!1e1!3m4!1slOAtLdMKPMUEHFgIl2X55g!2e0!7i13312!8i6656",,486e5278-5400-4e26-84bb-49e83f926db2,2710 Ramp Way,"https://www.google.com/maps/@38.5647793,-121.5162353,3a,75y,328.73h,83.42t/data=!3m6!1e1!3m4!1slOAtLdMKPMUEHFgIl2X55g!2e0!7i13312!8i6656"
33,,PKGL-205,Fremont Mews Lot A (14th & P St.),G,City of Sacramento,,,18,,,,,,,,,,,,fremontmewslot_a,"https://www.google.com/maps/@38.5715634,-121.4910293,3a,75y,66.68h,96.08t/data=!3m6!1e1!3m4!1sHQBKBRxMvtpZLEOGmkGtFQ!2e0!7i13312!8i6656?hl=en",,939a79dd-a21f-40d9-a8c5-fac26e5d3927,14th & P St.,"https://www.google.com/maps/@38.5715634,-121.4910293,3a,75y,66.68h,96.08t/data=!3m6!1e1!3m4!1sHQBKBRxMvtpZLEOGmkGtFQ!2e0!7i13312!8i6656?hl=en"
34,,PKGL-206,Fremont Mews Lot B (15th & Q St.),G,City of Sacramento,,,18,,,,,,,,,,,,fremontmewslot_b,"https://www.google.com/maps/@38.571287,-121.489665,3a,75y,272.7h,85.38t/data=!3m6!1e1!3m4!1sXyU2ihIkq-XVHFAAZi8xqg!2e0!7i13312!8i6656?hl=en",,51d0d37a-04ce-4de5-815d-a350bdba67e6,15th & Q St.,"https://www.google.com/maps/@38.571287,-121.489665,3a,75y,272.7h,85.38t/data=!3m6!1e1!3m4!1sXyU2ihIkq-XVHFAAZi8xqg!2e0!7i13312!8i6656?hl=en"
36,,PKGL-208,Ice Blocks III,SL,City of Sacramento,51,3,15,,,,150,125,,75,,,,,iceblocksiii,,,7d0dbcc2-e31c-4763-979d-f5ffffb202a2,1715 R Street,
37,10248111,PKGL-148,SEIU,SL,City of Sacramento,,,,,,,,,,,,,,,seiu,,,f77fe60d-de2d-46ed-94a5-043bb2a062cb,1325 S St,
38,,PKGL-209,Granite Regional Park Lot,SL,City of Sacramento,800,,,,,,,,,,,,,,graniteregionalpark,"https://www.google.com/maps/@38.5418293,-121.4052812,3a,75y,8.93h,77.88t/data=!3m6!1e1!3m4!1si8FM_g48bWuGuihCRUGEcQ!2e0!7i13312!8i6656",,bb949f8d-4add-4d1d-8af3-1490297e7832,3341 Power Inn Road,"https://www.google.com/maps/@38.5418293,-121.4052812,3a,75y,8.93h,77.88t/data=!3m6!1e1!3m4!1si8FM_g48bWuGuihCRUGEcQ!2e0!7i13312!8i6656"
39,,PKGL-210,Legado de Ravel Lot South,SL,City of Sacramento,,,,,,,,,,,,,,,legado_de_ravel,"https://www.google.com/maps/@38.5726827,-121.4880496,3a,75y,24.96h,88.74t/data=!3m6!1e1!3m4!1slhFHh6unGCkEsZv6POH9DQ!2e0!7i13312!8i6656",,e5b717b5-65a6-447c-99a5-5f6634cc2151,16th and O St,"https://www.google.com/maps/@38.5726827,-121.4880496,3a,75y,24.96h,88.74t/data=!3m6!1e1!3m4!1slhFHh6unGCkEsZv6POH9DQ!2e0!7i13312!8i6656"
40,,PKGL-211,Legado de Ravel Lot North,SL,City of Sacramento,,,,,,,,,,,,,,,legado_de_ravel,"https://www.google.com/maps/@38.5726827,-121.4880496,3a,75y,24.96h,88.74t/data=!3m6!1e1!3m4!1slhFHh6unGCkEsZv6POH9DQ!2e0!7i13312!8i6656",,a4fe2a03-4e4f-4454-b172-e3f8c7f84ea2,16th and O St,"https://www.google.com/maps/@38.5726827,-121.4880496,3a,75y,24.96h,88.74t/data=!3m6!1e1!3m4!1slhFHh6unGCkEsZv6POH9DQ!2e0!7i13312!8i6656"
41,100086333,PKGL-212,Ice Blocks I,G,City of Sacramento,,,,,,,,,,,,,,,,"https://www.google.com/maps/@38.5692562,-121.489034,3a,75y,130.86h,85.88t/data=!3m6!1e1!3m4!1svA_9tJXcLcqndD4gmD90wg!2e0!7i13312!8i6656",,784e41cb-7d25-4655-86ab-592322375509,1610 R St,"https://www.google.com/maps/@38.5692562,-121.489034,3a,75y,130.86h,85.88t/data=!3m6!1e1!3m4!1svA_9tJXcLcqndD4gmD90wg!2e0!7i13312!8i6656"
